Quadrant	0
0	1	2	3	5.0
0	1	2	4	39.0
0	1	2	5	47.0
0	1	2	6	7.0
0	1	3	4	23.0
0	1	3	5	5.0
0	2	2	5	16.0
0	2	2	6	44.0
0	2	2	7	18.0
0	2	2	8	5.0
0	2	3	5	3.0
0	2	3	6	1.0
0	2	3	8	1.0
0	3	2	6	10.0
0	3	2	7	46.0
0	3	2	8	34.0
0	3	2	9	20.0
0	3	2	10	1.0
0	3	3	7	1.0
0	3	3	8	1.0
0	3	3	9	4.0
0	4	2	8	2.0
0	4	2	9	13.0
0	4	2	10	15.0
0	4	2	11	9.0
0	4	2	12	3.0
0	4	2	13	3.0
0	4	3	10	4.0
0	5	2	10	2.0
0	5	2	11	7.0
0	5	2	12	2.0
0	5	2	13	12.0
0	5	2	14	5.0
0	6	2	12	1.0
0	6	2	13	6.0
0	6	2	14	9.0
0	6	2	15	2.0
0	6	2	17	4.0
0	7	2	15	1.0
0	7	2	17	2.0
0	7	2	18	1.0
0	7	2	19	1.0
0	7	3	15	1.0
0	8	2	16	1.0
0	8	2	17	5.0
0	8	2	18	3.0
0	8	2	22	2.0
0	9	2	20	2.0
0	9	2	21	1.0
0	9	2	22	2.0
0	9	2	23	2.0
0	10	2	20	1.0
0	10	2	21	2.0
0	10	2	22	1.0
0	10	2	23	5.0
0	10	2	24	1.0
0	10	2	26	4.0
0	10	2	27	3.0
0	10	3	21	1.0
0	11	2	22	1.0
0	11	2	24	6.0
0	11	2	25	2.0
0	11	2	26	1.0
0	11	2	27	2.0
0	12	2	23	1.0
0	12	2	24	1.0
0	12	2	26	2.0
0	12	2	28	1.0
0	12	2	29	1.0
0	12	3	28	1.0
0	13	2	27	2.0
0	13	2	28	1.0
0	13	2	33	1.0
0	14	2	28	2.0
0	14	3	29	2.0
0	15	2	28	1.0
0	15	2	29	1.0
0	15	2	31	1.0
0	15	2	34	1.0
0	15	2	37	1.0
0	16	2	38	1.0
0	17	2	34	1.0
0	17	2	35	3.0
0	17	2	37	1.0
0	17	2	38	1.0
0	18	2	38	2.0
0	18	2	39	1.0
0	19	2	39	1.0
0	20	2	39	1.0
0	21	2	42	1.0
0	27	2	48	1.0
1	2	2	5	3.0
1	2	2	6	19.0
1	2	3	5	68.0
1	2	3	6	40.0
1	2	3	7	5.0
1	2	4	5	35.0
1	2	4	6	22.0
1	2	4	7	1.0
1	2	5	6	1.0
1	3	2	6	67.0
1	3	2	7	41.0
1	3	2	8	14.0
1	3	3	6	24.0
1	3	3	7	27.0
1	3	3	8	14.0
1	3	3	9	9.0
1	3	4	6	8.0
1	3	4	7	4.0
1	3	4	8	7.0
1	4	2	7	1.0
1	4	2	8	18.0
1	4	2	9	29.0
1	4	2	10	33.0
1	4	2	11	1.0
1	4	3	8	24.0
1	4	3	9	68.0
1	4	3	10	29.0
1	4	3	11	2.0
1	4	4	8	1.0
1	4	4	9	1.0
1	4	4	10	1.0
1	4	8	9	1.0
1	5	2	9	6.0
1	5	2	10	18.0
1	5	2	11	29.0
1	5	2	12	8.0
1	5	3	9	1.0
1	5	3	10	27.0
1	5	3	11	9.0
1	5	3	12	2.0
1	5	3	13	2.0
1	5	4	10	1.0
1	5	4	11	1.0
1	5	4	12	1.0
1	6	2	10	1.0
1	6	2	11	12.0
1	6	2	12	7.0
1	6	2	13	10.0
1	6	2	14	4.0
1	6	2	15	2.0
1	6	3	10	1.0
1	6	3	11	1.0
1	6	3	12	8.0
1	6	3	13	4.0
1	6	3	14	3.0
1	6	3	15	3.0
1	6	4	11	1.0
1	6	4	12	3.0
1	6	4	13	1.0
1	7	2	12	1.0
1	7	2	13	4.0
1	7	2	14	4.0
1	7	2	15	4.0
1	7	2	16	7.0
1	7	2	17	3.0
1	7	3	13	1.0
1	7	3	14	6.0
1	7	3	15	2.0
1	7	3	16	1.0
1	7	3	17	1.0
1	7	3	18	1.0
1	7	4	16	1.0
1	7	4	17	1.0
1	8	2	15	9.0
1	8	2	16	6.0
1	8	2	17	1.0
1	8	2	19	1.0
1	8	3	15	1.0
1	8	3	16	4.0
1	8	3	17	8.0
1	8	3	19	1.0
1	8	3	20	1.0
1	8	3	21	1.0
1	8	4	17	1.0
1	8	4	19	1.0
1	9	2	17	4.0
1	9	2	18	2.0
1	9	2	19	2.0
1	9	2	20	2.0
1	9	2	21	5.0
1	9	2	22	4.0
1	9	3	17	3.0
1	9	3	18	2.0
1	9	3	19	2.0
1	9	3	20	2.0
1	9	3	21	1.0
1	9	3	22	1.0
1	9	4	19	2.0
1	9	4	20	1.0
1	10	2	19	3.0
1	10	2	20	3.0
1	10	2	21	3.0
1	10	2	25	1.0
1	10	3	19	1.0
1	10	3	20	1.0
1	10	3	21	3.0
1	10	3	22	1.0
1	10	3	25	1.0
1	11	2	20	1.0
1	11	2	21	2.0
1	11	2	22	4.0
1	11	2	23	2.0
1	11	2	25	2.0
1	11	2	26	1.0
1	11	2	27	1.0
1	11	2	28	2.0
1	11	3	21	1.0
1	11	3	22	2.0
1	11	3	27	1.0
1	12	2	21	1.0
1	12	2	22	2.0
1	12	2	24	3.0
1	12	2	27	1.0
1	12	2	28	1.0
1	12	2	29	2.0
1	12	3	27	3.0
1	12	3	29	3.0
1	12	3	32	1.0
1	12	4	24	1.0
1	13	2	28	1.0
1	13	2	29	4.0
1	13	2	30	2.0
1	13	3	25	1.0
1	13	3	30	1.0
1	13	3	32	1.0
1	14	2	27	1.0
1	14	2	29	4.0
1	14	2	30	2.0
1	14	2	31	3.0
1	14	3	26	1.0
1	14	3	30	2.0
1	14	3	31	1.0
1	14	3	32	1.0
1	14	3	33	2.0
1	14	4	31	1.0
1	15	2	30	2.0
1	15	2	31	3.0
1	15	3	29	1.0
1	15	3	31	1.0
1	15	4	31	1.0
1	15	4	32	1.0
1	16	2	31	2.0
1	16	2	32	2.0
1	16	2	35	1.0
1	16	2	38	3.0
1	16	3	31	1.0
1	16	3	33	1.0
1	16	3	36	1.0
1	17	3	33	1.0
1	17	3	34	1.0
1	17	3	35	1.0
1	17	3	36	1.0
1	17	3	37	1.0
1	17	4	34	1.0
1	18	2	33	1.0
1	18	2	38	1.0
1	18	3	36	1.0
