#Log[10,mAp/GeV]	Log[10,BF]

-2.969359805131367	-100.
-2.94951300610571	-100.
-2.9296662070800537	-100.
-2.909819408054397	-100.
-2.88997260902874	-100.
-2.870125810003083	-100.
-2.850279010977426	-100.
-2.83043221195177	-100.
-2.810585412926113	-100.
-2.790738613900456	-100.
-2.770891814874799	-100.
-2.751045015849142	-100.
-2.7311982168234854	-100.
-2.711351417797829	-100.
-2.6915046187721714	-100.
-2.6716578197465144	-100.
-2.651811020720858	-100.
-2.6319642216952013	-100.
-2.6121174226695443	-100.
-2.5922706236438873	-100.
-2.5724238246182303	-100.
-2.552577025592574	-100.
-2.532730226566917	-100.
-2.51288342754126	-100.
-2.493036628515603	-100.
-2.473189829489946	-100.
-2.45334303046429	-100.
-2.4334962314386326	-100.
-2.4136494324129756	-100.
-2.393802633387319	-100.
-2.3739558343616625	-100.
-2.3541090353360055	-100.
-2.3342622363103485	-100.
-2.3144154372846915	-100.
-2.294568638259035	-100.
-2.2747218392333783	-100.
-2.2548750402077213	-100.
-2.235028241182064	-100.
-2.2151814421564078	-100.
-2.1953346431307508	-100.
-2.175487844105094	-100.
-2.1556410450794368	-100.
-2.1357942460537807	-100.
-2.1159474470281237	-100.
-2.0961006480024666	-100.
-2.0762538489768096	-100.
-2.0564070499511526	-100.
-2.0365602509254956	-100.
-2.0167134518998395	-100.
-1.9968666528741823	-100.
-1.9770198538485253	-100.
-1.9571730548228685	-100.
-1.937326255797212	-100.
-1.917479456771555	-100.
-1.8976326577458982	-100.
-1.8777858587202412	-100.
-1.8579390596945844	-100.
-1.8380922606689278	-100.
-1.818245461643271	-100.
-1.798398662617614	-100.
-1.7785518635919573	-100.
-1.7587050645663003	-100.
-1.7388582655406435	-100.
-1.7190114665149865	-100.
-1.6991646674893297	-100.
-1.679317868463673	-100.
-1.6594710694380161	-100.
-1.6396242704123591	-100.
-1.6197774713867026	-100.
-1.5999306723610456	-100.
-1.5800838733353886	-100.
-1.5602370743097318	-100.
-1.540390275284075	-100.
-1.5205434762584182	-100.
-1.5006966772327612	-100.
-1.4808498782071047	-100.
-1.4610030791814477	-100.
-1.4411562801557911	-100.
-1.421309481130134	-100.
-1.4014626821044773	-100.
-1.3816158830788203	-100.
-1.3617690840531633	-100.
-1.3419222850275068	-100.
-1.3220754860018498	-100.
-1.3022286869761932	-100.
-1.282381887950536	-100.
-1.2625350889248794	-100.
-1.2426882898992224	-100.
-1.2228414908735659	-100.
-1.2029946918479086	-100.
-1.1831478928222519	-100.
-1.1633010937965953	-100.
-1.1434542947709385	-100.
-1.1236074957452815	-100.
-1.1037606967196245	-100.
-1.083913897693968	-100.
-1.0640670986683107	-100.
-1.0442202996426542	-100.
-1.0243735006169972	-100.
-1.0045267015913406	-100.
-0.9846799025656835	-100.
-0.9648331035400268	-100.
-0.9449863045143698	-100.
-0.9251395054887133	-100.
-0.9052927064630563	-100.
-0.8854459074373997	-100.
-0.8655991084117426	-100.
-0.8457523093860856	-100.
-0.8259055103604291	-100.
-0.806058711334772	-100.
-0.786211912309115	-100.
-0.7663651132834585	-100.
-0.7465183142578015	-100.
-0.7266715152321445	-100.
-0.706824716206488	-100.
-0.686977917180831	-100.
-0.6671311181551745	-0.6591243832940324
-0.6472843191295174	-0.47768901868584807
-0.6274375201038603	-0.41626457478106627
-0.6075907210782038	-0.3831014397583497
-0.5877439220525468	-0.3621622188681981
-0.5678971230268899	-0.3478267554831146
-0.5480503240012333	-0.33751589982171715
-0.5282035249755763	-0.3298511548260984
-0.5083567259499197	-0.32401878404248624
-0.48850992692426276	-0.31950358466691936
-0.46866312789860576	-0.3159619979141495
-0.4488163288729492	-0.31315563894944237
-0.42896952984729214	-0.341457904353963
-0.4091227308216352	-0.3413174253000857
-0.3892759317959786	-0.34948408742582265
-0.3694291327703216	-0.35702084344815377
-0.3495823337446646	-0.36653554249281406
-0.329735534719008	-0.37421253273241617
-0.30988873569335107	-0.39105629605676384
-0.29004193666769446	-0.4063262299131901
-0.2701951376420375	-0.43160514230613667
-0.2503483386163805	-0.4544998090504597
-0.23050153959072395	-0.49279645046715553
-0.2106547405650669	-0.5458977739160662
-0.19080794153940994	-0.6305391620712323
-0.1709611425137534	-0.7149704835975561
-0.15111434348809635	-0.8433828837628635
-0.13126754446243982	-1.026476297929409
-0.1114207454367828	-1.1151073474715056
-0.09157394641112583	-0.8901455488562908
-0.07172714738546923	-0.7267986411511743
-0.05188034835981227	-0.6011381511443602
-0.032033549334155274	-0.5239953288290083
-0.012186750308498697	-0.48182675856288765
0.007660048717158267	-1.5349965393508147
0.027506847742815272	-0.4879228185470874
0.0473536467684719	-0.4530999828773969
0.06720044579412886	-0.4579882063526977
0.08704724481978539	-0.4721490450299366
0.1068940438454424	-0.49103967204097054
0.12674084287109944	-0.5226565579463415
0.14658764189675594	-0.5599508306068297
0.16643444092241302	-0.5819319991558318
0.18628123994806997	-0.6258904017298638
0.20612803897372656	-0.6436718943757355
0.22597483799938356	-0.6655323622981665
0.24582163702504053	-0.6719557010656262
0.2656684360506971	-0.6303795513359611
0.28551523507635407	-0.5967976570545177
0.3053620341020106	-0.623259080319044
0.32520883312766763	-0.6329169656222933
0.3450556321533247	-0.6414772092416523
0.3649024311789812	-0.6414766908595327
0.3847492302046382	-0.6417261466687044
0.4045960292302952	-0.6420841750629832
0.4244428282559517	-0.6369053465524551
0.4442896272816088	-0.6226257924391111
0.46413642630726537	-0.6251938025182517
0.4839832253329223	-0.6586565981555251
0.5038300243585793	-0.6308535535833237
0.5236768233842359	-0.6363425182997221
0.5435236224098928	-0.6318889754540705
0.5633704214355499	-0.6862122991043639
0.5832172204612064	-0.7160846844551729
0.6030640194868635	-0.7893219851992429
0.6229108185125205	-0.8207833062076652
0.6427576175381771	-0.8220454160875352
0.6626044165638341	-0.7886457523212397
0.6824512155894906	-0.8132868288264627
0.7022980146151475	-0.802736973279826
0.7221448136408045	-0.8025448035702921
0.7419916126664611	-0.8037183735489849
0.7618384116921182	-0.8046623066547861
0.7816852107177752	-0.8066233921945264
0.8015320097434316	-0.814079818157425
0.8213788087690888	-0.8201012485982327
0.8412256077947456	-0.8241480269258351
0.8610724068204023	-0.8171762452318753
0.8809192058460593	-0.8167342528990552
0.9007660048717159	-0.8228016835674519
0.9206128038973729	-0.8098500751698333
0.9404596029230298	-0.8092896513925886
0.9603064019486862	-0.8198712662246962
0.9801532009743433	-0.8218978867796943
1.0000000000000004	-0.8243698389213008
